tokens_stemmed,clean_text_final
"['coba', 'unduh', 'keren', 'ajar', 'mass', 'rapid', 'transit', 'bayar', 'orang', 'daerah', 'coba', 'coba', 'ibukota', 'modal', 'smartphone', 'makasih', 'mass', 'rapid', 'transit', 'besok', 'coba', 'test']",coba unduh keren ajar mass rapid transit bayar orang daerah coba coba ibukota modal smartphone makasih mass rapid transit besok coba test
[''],
['oke'],oke
['mantap'],mantap
['good'],good
[],
"['moga', 'lancar']",moga lancar
['bantu'],bantu
['nis'],nis
['good'],good
['bagus'],bagus
[],
"['bagusss', 'kualitas', 'aplikasi']",bagusss kualitas aplikasi
['mantap'],mantap
"['bagus', 'mudah', 'jalan', 'jakarta', '']",bagus mudah jalan jakarta 
[],
"['mudah', 'manfaat', 'aamiin']",mudah manfaat aamiin
"['bantu', 'mudah']",bantu mudah
"['good', 'cepat']",good cepat
['gud'],gud
"['mantap', 'mudah', 'masyarakat']",mantap mudah masyarakat
['mantulss'],mantulss
"['daftar', 'masukin', 'password', 'failed']",daftar masukin password failed
"['salah', 'masuk', 'stasiun', 'tuju', 'tukar', 'rubah']",salah masuk stasiun tuju tukar rubah
"['mohon', 'bantu', 'daftar', 'yaa', '']",mohon bantu daftar yaa 
"['nyamam', 'ddn', 'sman', 'utama']",nyamam ddn sman utama
['mntap'],mntap
"['top', 'markotop']",top markotop
[],
['muantabbb'],muantabbb
"['mudah', 'guna', 'mass', 'rapid', 'transit', 'terimakasih', 'sukses', 'pt']",mudah guna mass rapid transit terimakasih sukses pt
"['aneh', 'daftar', 'susah']",aneh daftar susah
['good'],good
['mantapp'],mantapp
['good'],good
['good'],good
"['sekuriti', 'kasar', 'skali', 'negur', 'klw', 'pake', 'masker', 'baik2', 'boss', 'masker', 'buka', 'sebentar', 'sesak', 'jadi', 'stasiun', 'dukuh', 'bni']",sekuriti kasar skali negur klw pake masker baik2 boss masker buka sebentar sesak jadi stasiun dukuh bni
['good'],good
"['bantu', 'pergi']",bantu pergi
[],
['bagus'],bagus
"['pake', 'install']",pake install
['kereeen'],kereeen
"['cakep', 'kayak', 'dhe', 'jokowi']",cakep kayak dhe jokowi
['bagus'],bagus
[],
"['maantaapp', 'boskuh']",maantaapp boskuh
"['moga', 'tranportasi', 'mass', 'rapid', 'transit', 'lancar']",moga tranportasi mass rapid transit lancar
"['membantunsaya', 'donload', 'terimakash']",membantunsaya donload terimakash
"['trkadang', 'lot', 'trkadang', 'bgs', '4x', 'uninstall', 'bru', 'donlot', 'masuk', 'akun']",trkadang lot trkadang bgs 4x uninstall bru donlot masuk akun
['hebat'],hebat
['keren'],keren
"['alhamdulillah', 'keren']",alhamdulillah keren
['oke'],oke
['bagus'],bagus
['okee'],okee
['mantaap'],mantaap
['mantabss'],mantabss
['mantap'],mantap
['mantap'],mantap
['cakepp'],cakepp
"['coba', 'layan']",coba layan
"['keren', 'bgt']",keren bgt
['mantabs'],mantabs
[],
['istimewa'],istimewa
['mudah'],mudah
"['bagus', 'cepat']",bagus cepat
['bagus'],bagus
['good'],good
['bagus'],bagus
"['error', 'bayar', 'pilih', 'stasiun', 'malam', 'ktm', 'pagi']",error bayar pilih stasiun malam ktm pagi
['praktis'],praktis
['oke'],oke
['bagus'],bagus
"['bagus', 'mantab']",bagus mantab
['keren'],keren
[],
['menggudukasi'],menggudukasi
"['moga', 'lancar', 'pakai']",moga lancar pakai
['mantap'],mantap
"['mba', 'tugas', 'blok', 'bca', 'ngeselin', '2x', 'masuk', 'sulit', 'paksa', 'bli', 'kartu']",mba tugas blok bca ngeselin 2x masuk sulit paksa bli kartu
['good'],good
"['mass', 'rapid', 'transit', 'mass', 'rapid', 'transit', 'bayar', 'gaji', 'salah', 'vendor', 'thr', 'gaji', 'bayar', 'waktuthr', 'bayar', 'hari', 'bank', 'terahir', 'operasional', 'itu', 'didatengin', 'rame2', 'kantor', 'vendor', 'alas', 'mass', 'rapid', 'transit', 'tunggak', 'bayar', 'vendor', 'vendor', 'hak', 'pekerjanyaapakah', 'mass', 'rapid', 'transit', 'demikianbahkan', 'gaji', 'bayar', 'tgl', 'undur', 'tgl', 'meiapakah']",mass rapid transit mass rapid transit bayar gaji salah vendor thr gaji bayar waktuthr bayar hari bank terahir operasional itu didatengin rame2 kantor vendor alas mass rapid transit tunggak bayar vendor vendor hak pekerjanyaapakah mass rapid transit demikianbahkan gaji bayar tgl undur tgl meiapakah
"['smoga', 'ribet', 'aplikasi']",smoga ribet aplikasi
['mantap'],mantap
"['korban', 'sales', 'multitrip', 'card', 'emoney', 'card', 'sia', 'beli', 'multitrip', 'card', 'pakai', 'dibusway', 'lgi', 'transaksi', 'emoney']",korban sales multitrip card emoney card sia beli multitrip card pakai dibusway lgi transaksi emoney
"['mass', 'rapid', 'transit', 'jakarta', 'mantab', 'moga', 'sukse']",mass rapid transit jakarta mantab moga sukse
[],
['download'],download
['bagus'],bagus
[],
['bagus'],bagus
"['coba', 'keren']",coba keren
['forwarf'],forwarf
['best'],best
['mantap'],mantap
['bagus'],bagus
['usefull'],usefull
"['bagus', 'apk', 'jaya', 'mass', 'rapid', 'transit', 'jakarta']",bagus apk jaya mass rapid transit jakarta
"['update', 'maret', 'freeze', 'splash', 'start', 'screen']",update maret freeze splash start screen
"['yak', 'akses']",yak akses
[],
"['moga', 'bnyk', 'promo', 'mass', 'rapid', 'transit']",moga bnyk promo mass rapid transit
"['aplikasi', 'lemott', 'menit', 'buka', 'namjn', 'lemott', 'pake', 'wifi', 'masakan', 'lapor', 'tugas', 'lake', 'wifi', 'hambat', 'jalan', 'berangkat', 'kerja', 'please', 'berkali2', 'please', 'solusi', 'tgis', 'trouble', 'senang', 'pake', 'tali', 'lemott', 'nga', 'ampun']",aplikasi lemott menit buka namjn lemott pake wifi masakan lapor tugas lake wifi hambat jalan berangkat kerja please berkali2 please solusi tgis trouble senang pake tali lemott nga ampun
"['good', 'transportation', 'indonesian']",good transportation indonesian
['mantab'],mantab
['mantap'],mantap
"['keren', 'gampang', 'sen', 'kemarin', 'beli', 'grup', 'orang', 'jdi', 'mass', 'rapid', 'transit', 'bareng', 'temen2', 'kartu']",keren gampang sen kemarin beli grup orang jdi mass rapid transit bareng temen2 kartu
[],
"['bagus', 'gan']",bagus gan
"['moga', 'rute', 'mass', 'rapid', 'transit', 'jakarta', 'rumah', 'kantor', 'pasar', 'pusat', 'belanja', 'bengkel', 'tinggal', 'jalan', 'kaki', 'sebentar', 'langsung', 'langsung', 'tuju', 'moda', 'transportasi', 'tunggu']",moga rute mass rapid transit jakarta rumah kantor pasar pusat belanja bengkel tinggal jalan kaki sebentar langsung langsung tuju moda transportasi tunggu
"['baru', 'tampil', 'tampil', 'mode', 'gelap', 'lambang', 'pilih', 'tulis']",baru tampil tampil mode gelap lambang pilih tulis
"['bantu', 'mudah']",bantu mudah
['bantu'],bantu
['keren'],keren
"['good', 'job']",good job
"['bagus', 'nikmat', 'moda', 'transportasi', 'raya', 'padu', 'mass', 'rapid', 'transit', 'jakarta']",bagus nikmat moda transportasi raya padu mass rapid transit jakarta
"['mohon', 'jelas', 'beli', 'tiket', 'mass', 'rapid', 'transit', 'senayan', 'blok', 'applikasi', 'mass', 'rapid', 'transit', 'jam', 'jadwal', 'tera', 'kebarangkatan', 'senayan', 'jam', 'diperbolahkan', 'masuk', 'satpam', 'beliau', 'mass', 'rapid', 'transit', 'tutup', 'beliau', 'jadwal', 'berangkat', 'tera']",mohon jelas beli tiket mass rapid transit senayan blok applikasi mass rapid transit jam jadwal tera kebarangkatan senayan jam diperbolahkan masuk satpam beliau mass rapid transit tutup beliau jadwal berangkat tera
['nice'],nice
['good'],good
['keren'],keren
[],
"['manteb', 'dah', 'anies']",manteb dah anies
['good'],good
['mantap'],mantap
"['cepat', 'respon']",cepat respon
"['sekalikereta', 'bersih']",sekalikereta bersih
"['alhamdulillah', 'moga', 'manfaat']",alhamdulillah moga manfaat
"['mudah', 'praktis']",mudah praktis
"['cek', 'saldo', 'kartu', 'mass', 'rapid', 'transit', 'multi', 'trip', 'isi', 'saldo']",cek saldo kartu mass rapid transit multi trip isi saldo
[],
"['kode', 'otp', 'bayar']",kode otp bayar
[],
"['cm', 'sharing', 'aj', 'atur', 'jgn', 'ketat', 'orng', 'cadar', 'pakai', 'masker', 'aneh', 'si']",cm sharing aj atur jgn ketat orng cadar pakai masker aneh si
['keren'],keren
['mantab'],mantab
"['aplikasi', 'mudah']",aplikasi mudah
"['baguss', 'mudah']",baguss mudah
"['bagus', 'mudah']",bagus mudah
['error'],error
['keren'],keren
"['verifikasi', 'ktp', 'baik', 'error']",verifikasi ktp baik error
"['sgitu', 'dlu', 'klo', 'bgus', 'dtmbahin']",sgitu dlu klo bgus dtmbahin
"['download', 'liat', 'jadwal', 'mass', 'rapid', 'transit', 'tiba', 'suka', 'error', 'gin', 'baik', 'layan', 'mass', 'rapid', 'transit', 'nyaa']",download liat jadwal mass rapid transit tiba suka error gin baik layan mass rapid transit nyaa
[],
['good'],good
"['eusbuu', '']",eusbuu 
['bagus'],bagus
['keren'],keren
['keren'],keren
['mantap'],mantap
[],
"['bug', 'verifikasi', 'ktp']",bug verifikasi ktp
"['moga', 'tingkat', 'mutu', 'layan']",moga tingkat mutu layan
"['pp', 'tmn', 'njnjmjnjmnnnhm', 'ooo', 'lupa', 'pp', 'loop', 'lo', 'lol', 'ko', 'uo']",pp tmn njnjmjnjmnnnhm ooo lupa pp loop lo lol ko uo
['bagus'],bagus
"['habis', 'update', 'error', 'failed', 'load', 'gopay', 'status']",habis update error failed load gopay status
['oke'],oke
"['versi', 'baru', 'baik', 'schedule', 'kadang', 'sinkron', 'ama', 'aktual']",versi baru baik schedule kadang sinkron ama aktual
['mantap'],mantap
"['aplikasi', 'verifikasi', 'ktp', 'ngisi', 'indentitas', 'lai', 'pas', 'mesen', 'tiket', 'sinyal', 'bagus', 'pakek', 'data', 'wifi', 'tetep', 'error', 'mohon', 'developer', 'memeberikan', 'solusi', 'baik']",aplikasi verifikasi ktp ngisi indentitas lai pas mesen tiket sinyal bagus pakek data wifi tetep error mohon developer memeberikan solusi baik
['bantu'],bantu
"['tau', 'beli', 'tiket', 'via', 'selesai', 'bayar', 'beli', 'tiket', 'gimana', 'tugas', 'tugas', 'ngasih', 'info', 'beli', 'tiket', 'pakai', 'paksa', 'beli', 'kartu', 'bawa', 'kartu', 'atm', 'topup', 'kartu', 'kartu', 'multitrip', 'debit', 'abis', 'kartu', 'kepake']",tau beli tiket via selesai bayar beli tiket gimana tugas tugas ngasih info beli tiket pakai paksa beli kartu bawa kartu atm topup kartu kartu multitrip debit abis kartu kepake
"['appnya', 'bagus', 'praktis', 'suka', 'eror', 'koneksi', 'milik', 'wifikuota', 'internet']",appnya bagus praktis suka eror koneksi milik wifikuota internet
['bantu'],bantu
"['buka', 'jadwal', 'kereta', 'tutup']",buka jadwal kereta tutup
"['aplikasi', 'byk', 'bug', 'errornya', 'contoh', 'halaman', 'jadwal', 'pilih', 'stasiun', 'langsung', 'keluarforceclose', 'halaman', 'akun', 'input', 'foto', 'ktp', 'lgsg', 'forceclose', 'baik', 'cek', 'lg']",aplikasi byk bug errornya contoh halaman jadwal pilih stasiun langsung keluarforceclose halaman akun input foto ktp lgsg forceclose baik cek lg
[],
"['quick', 'respon']",quick respon
"['forceclose', 'terusssssssssssss']",forceclose terusssssssssssss
"['connect', 'gopay']",connect gopay
"['mantap', 'moga', 'tingkat']",mantap moga tingkat
['bagus'],bagus
"['sm', 's21', 'buka']",sm s21 buka
['bantu'],bantu
['good'],good
"['senang', 'nyaman', 'bersih', 'jaga', 'jya', 'ramah', 'bantu']",senang nyaman bersih jaga jya ramah bantu
"['aplikasi', 'kali', 'liat', 'jadwal', 'jalan', 'kluar']",aplikasi kali liat jadwal jalan kluar
[''],
['coba'],coba
"['erooorrrr', 'force', 'close', 'hp', 'google', 'pixelsebelum2', 'eror', 'abis', 'update', 'br', 'eror']",erooorrrr force close hp google pixelsebelum2 eror abis update br eror
"['good', 'aplication']",good aplication
"['bugs', 'upload', 'foto', 'ktp', 'auto', 'tutup']",bugs upload foto ktp auto tutup
['good'],good
"['modern', 'transportasi', 'dki']",modern transportasi dki
"['jalan', 'cepat', 'nyaman']",jalan cepat nyaman
"['kartu', 'bayar', 'elektronik', 'simple', 'mudah']",kartu bayar elektronik simple mudah
"['bagus', 'bantu']",bagus bantu
"['dpermudah', 'masuk', 'akun']",dpermudah masuk akun
['nyaman'],nyaman
['baguus'],baguus
['senang'],senang
"['praktis', 'beli', 'tiket', 'mending', 'langsung', 'connect', 'ewallet', 'langsung', 'bayar', 'sesuai', 'scan', 'barcode', 'stasiun', 'berangkat', 'stasiun', 'tuju']",praktis beli tiket mending langsung connect ewallet langsung bayar sesuai scan barcode stasiun berangkat stasiun tuju
"['rating', 'ubah']",rating ubah
['guud'],guud
"['ihhiy', 'masuk', 'eko']",ihhiy masuk eko
['coba'],coba
"['keren', 'skrng', 'mass', 'rapid', 'transit', 'mudah', 'aplikasi', 'butuh', 'baik', 'verifikasi', 'ktp', 'tap', 'tetep', 'gabisa', 'gpp', 'aplikasi', 'mass', 'rapid', 'transit', 'verifikasi', 'ktp']",keren skrng mass rapid transit mudah aplikasi butuh baik verifikasi ktp tap tetep gabisa gpp aplikasi mass rapid transit verifikasi ktp
['keren'],keren
"['syarat', 'gabung']",syarat gabung
"['bagus', 'manfaat']",bagus manfaat
['good'],good
['terimakasih'],terimakasih
"['pulsa', 'otp', 'lemah']",pulsa otp lemah
"['keren', 'praktis']",keren praktis
"['interfacenya', 'jelek']",interfacenya jelek
"['bagustidak', 'kendala']",bagustidak kendala
"['bayar', 'shopeepay']",bayar shopeepay
"['gagal', 'masuk']",gagal masuk
"['excellent', 'moga', 'tahan', 'layan']",excellent moga tahan layan
['keren'],keren
['mantap'],mantap
"['nyoba', 'dlu']",nyoba dlu
['manfaat'],manfaat
[],
['suka'],suka
[],
['buka'],buka
"['maju', 'ekonomi', 'peting', 'rakyat']",maju ekonomi peting rakyat
"['mantap', 'guna']",mantap guna
"['nyaman', 'transportasi']",nyaman transportasi
"['ubah', 'wujud', 'maju', 'sejahtera', 'masyarakat']",ubah wujud maju sejahtera masyarakat
"['transportasi', 'publik', 'modern']",transportasi publik modern
"['keren', 'membantubanyak', 'hadiah', 'give', 'awaynya']",keren membantubanyak hadiah give awaynya
"['bismillah', 'moga']",bismillah moga
['mantap'],mantap
"['bagus', 'aplikasi']",bagus aplikasi
"['bagus', 'mudah', 'beli', 'tiket', 'nonton', 'film', 'gratis', 'jalan']",bagus mudah beli tiket nonton film gratis jalan
"['akses', 'mudah']",akses mudah
['sukaaa'],sukaaa
['mantap'],mantap
"['gimana', 'download', 'trs', 'abis', 'registrasi', 'trs', 'app', 'hadehhh', 'emng', 'kalo', 'sistem', 'susah', 'benernya']",gimana download trs abis registrasi trs app hadehhh emng kalo sistem susah benernya
"['suka', 'knp', 'diupdate', 'buka']",suka knp diupdate buka
[],
"['nge', 'bug', 'pakai']",nge bug pakai
"['maju', 'mass', 'rapid', 'transit', 'inovasi', 'mudah', 'guna']",maju mass rapid transit inovasi mudah guna
"['moga', 'jaya']",moga jaya
['yah'],yah
"['mantap', 'dukung', 'mass', 'rapid', 'transit']",mantap dukung mass rapid transit
"['bagus', 'mudah', 'guna', 'mass', 'rapid', 'transit']",bagus mudah guna mass rapid transit
['good'],good
[],
"['proses', 'register', 'member', 'mula', 'copat']",proses register member mula copat
[],
[],
[''],
"['update', 'liat', 'jam', 'datang', 'kereta', 'menit', 'tutup']",update liat jam datang kereta menit tutup
"['suka', 'forceclosejelek']",suka forceclosejelek
"['susah', 'susah', 'gampang', 'masuk']",susah susah gampang masuk
"['mass', 'rapid', 'transit', 'mudah', 'beli', 'ticket', 'jalan', 'informasi', 'status', 'jalan', 'sedia']",mass rapid transit mudah beli ticket jalan informasi status jalan sedia
['bagus'],bagus
"['applikasi', 'keren']",applikasi keren
"['sampah', 'habis', 'update', 'gag', 'liat', 'jadwal', 'beli', 'tiket', 'gag', 'jam', 'sibuk', 'error', 'dumb', 'ass']",sampah habis update gag liat jadwal beli tiket gag jam sibuk error dumb ass
"['keren', 'bawa', 'anak', 'jln2']",keren bawa anak jln2
['oke'],oke
['bantu'],bantu
[],
"['mudah', 'langgan']",mudah langgan
['coba'],coba
['efisien'],efisien
['good'],good
['mantap'],mantap
['mantap'],mantap
['mudah'],mudah
[],
['bantu'],bantu
"['mantappppsss', 'jiwaaaa']",mantappppsss jiwaaaa
['good'],good
[],
"['coba', 'kalo', 'bagus', 'bintang', 'penuh']",coba kalo bagus bintang penuh
['mantap'],mantap
"['good', 'jobs']",good jobs
['sesuai'],sesuai
['mantab'],mantab
['coba'],coba
"['tertib', 'aman', 'nyaman', 'prokes', 'bagus']",tertib aman nyaman prokes bagus
"['good', 'aplikasithanks']",good aplikasithanks
['bagus'],bagus
"['pemcobaan', 'smoga', 'bermakana', 'kepegian']",pemcobaan smoga bermakana kepegian
['nice'],nice
['mantaaap'],mantaaap
"['bangga', 'anak', 'indonesia']",bangga anak indonesia
['oke'],oke
[],
"['ksh', 'bintang', 'bagus', 'bintang']",ksh bintang bagus bintang
"['transportasi', 'bagus']",transportasi bagus
"['layan', 'bagus']",layan bagus
['bermafaat'],bermafaat
['muantab'],muantab
"['praktis', 'tinggal', 'scan', 'qr', 'linkaja', 'gopay', 'kayak', 'krl', 'kalo', 'beli', 'tiket', 'kesan', 'outdated', 'sistem', 'krl', 'fasilitas', 'mass', 'rapid', 'transit', 'canggih']",praktis tinggal scan qr linkaja gopay kayak krl kalo beli tiket kesan outdated sistem krl fasilitas mass rapid transit canggih
['pake'],pake
['nyoba'],nyoba
['bagus'],bagus
['bagus'],bagus
['cucoo'],cucoo
['good'],good
"['best', 'aplicasi', '']",best aplicasi 
"['download', 'moga', 'gaada', 'kendala', 'saat', 'guna']",download moga gaada kendala saat guna
"['kode', 'refeal', 'update', 'tambah', 'alarm', 'datang', 'tuju']",kode refeal update tambah alarm datang tuju
['jos'],jos
"['nyaman', 'coba', 'mass', 'rapid', 'transit']",nyaman coba mass rapid transit
"['bener2', 'hemat', 'tenaga', 'mass', 'rapid', 'transit', 'jibaku', 'kejar2', 'busway', 'kereta', 'makas', 'mass', 'rapid', 'transit', '']",bener2 hemat tenaga mass rapid transit jibaku kejar2 busway kereta makas mass rapid transit 
['bgus'],bgus
"['baikk', 'ramah']",baikk ramah
"['bantu', 'mudah', 'jalan']",bantu mudah jalan
"['nothing', 'problems']",nothing problems
"['mantap', 'tranportasi', 'kelas', 'dunia', 'serasa', 'eropa']",mantap tranportasi kelas dunia serasa eropa
[],
['bagus'],bagus
"['senang', 'apk', 'mass', 'rapid', 'transit', 'jakartatingkat', 'kn', 'kembangkn']",senang apk mass rapid transit jakartatingkat kn kembangkn
['bug'],bug
['jelek'],jelek
['mantap'],mantap
"['beli', 'kartu']",beli kartu
['mantap'],mantap
[],
['bantu'],bantu
['bagus'],bagus
"['error', 'bayar', 'ovo']",error bayar ovo
"['good', 'app']",good app
['gembel'],gembel
"['praktis', 'tinggal', 'scan', 'qr', 'code', 'krl']",praktis tinggal scan qr code krl
['good'],good
"['bagus', 'bangt']",bagus bangt
"['mudah', 'beli', 'tiket', 'pembayarab', 'antri']",mudah beli tiket pembayarab antri
['layan'],layan
['maksimal'],maksimal
"['terimakasih', 'jakarta', 'sehat']",terimakasih jakarta sehat
['coba'],coba
['top'],top
"['sangatt', 'bantu']",sangatt bantu
"['bantu', 'susah', 'login', 'kali', 'kali', 'gabisa', 'reset', 'pin', 'coba', 'login', 'gabisa', 'mass', 'rapid', 'transit', 'gmn', 'parah']",bantu susah login kali kali gabisa reset pin coba login gabisa mass rapid transit gmn parah
['mantap'],mantap
[],
['ajib'],ajib
['good'],good
['keren'],keren
"['bantu', 'mudah', 'bayar', 'transaksi']",bantu mudah bayar transaksi
"['kerenga', 'nyangka', 'kalo', 'indonesia', 'keren']",kerenga nyangka kalo indonesia keren
[],
['bersih'],bersih
"['bagus', 'rute', 'mass', 'rapid', 'transit']",bagus rute mass rapid transit
[],
"['bersih', 'beut']",bersih beut
[],
"['moga', 'kembang', 'banyak', 'promodiskon', 'spt', '10x', 'jalan', 'gratis', '1x', 'jalan', 'tks']",moga kembang banyak promodiskon spt 10x jalan gratis 1x jalan tks
"['ganggu', 'pagi', 'pagi', 'orang', 'buru', 'buru', 'sibukga', 'malam', 'ganggu', 'notifikasiseperti', 'sms', 'blast', 'wa', 'blast', 'biar', 'guna', 'mass', 'rapid', 'transit', 'tau', 'klo', 'gangguannyusahin', 'lama2', 'kagak', 'laku', 'ni', 'mass', 'rapid', 'transit']",ganggu pagi pagi orang buru buru sibukga malam ganggu notifikasiseperti sms blast wa blast biar guna mass rapid transit tau klo gangguannyusahin lama2 kagak laku ni mass rapid transit
['moga'],moga
['keren'],keren
"['mantap', 'keren', 'aplikasi']",mantap keren aplikasi
['oke'],oke
"['tempat', 'bersih', 'nyaman', 'mantul', 'pokok']",tempat bersih nyaman mantul pokok
"['top', 'pake', 'ovo']",top pake ovo
"['moga', 'bantu', 'yah']",moga bantu yah
"['bersih', 'nyaman', 'kereta']",bersih nyaman kereta
['mantab'],mantab
['bantu'],bantu
"['coba', 'nnti', 'bagus']",coba nnti bagus
